,load_kw,timestep
2025-01-01 00:00:00,39.21666666666667,1
2025-01-01 01:00:00,38.7175,2
2025-01-01 02:00:00,38.1325,3
2025-01-01 03:00:00,44.5,4
2025-01-01 04:00:00,43.965,5
2025-01-01 05:00:00,37.665,6
2025-01-01 06:00:00,32.9975,7
2025-01-01 07:00:00,30.5,8
2025-01-01 08:00:00,27.8975,9
2025-01-01 09:00:00,27.9675,10
2025-01-01 10:00:00,28.79,11
2025-01-01 11:00:00,30.155,12
2025-01-01 12:00:00,30.5825,13
2025-01-01 13:00:00,29.5225,14
2025-01-01 14:00:00,30.1575,15
2025-01-01 15:00:00,30.880000000000003,16
2025-01-01 16:00:00,28.855,17
2025-01-01 17:00:00,29.3725,18
2025-01-01 18:00:00,29.1325,19
2025-01-01 19:00:00,28.9525,20
2025-01-01 20:00:00,30.365,21
2025-01-01 21:00:00,35.9125,22
2025-01-01 22:00:00,38.0975,23
2025-01-01 23:00:00,37.225,24
2025-01-02 00:00:00,36.78,25
2025-01-02 01:00:00,36.98,26
2025-01-02 02:00:00,36.4125,27
2025-01-02 03:00:00,37.045,28
2025-01-02 04:00:00,42.0925,29
2025-01-02 05:00:00,36.485,30
2025-01-02 06:00:00,31.425,31
2025-01-02 07:00:00,29.0125,32
2025-01-02 08:00:00,28.265,33
2025-01-02 09:00:00,28.2625,34
2025-01-02 10:00:00,28.975,35
2025-01-02 11:00:00,22.1975,36
2025-01-02 12:00:00,23.425,37
2025-01-02 13:00:00,20.84,38
2025-01-02 14:00:00,22.825,39
2025-01-02 15:00:00,31.1125,40
2025-01-02 16:00:00,31.23,41
2025-01-02 17:00:00,31.1325,42
2025-01-02 18:00:00,30.925,43
2025-01-02 19:00:00,31.58,44
2025-01-02 20:00:00,31.49,45
2025-01-02 21:00:00,36.7175,46
2025-01-02 22:00:00,37.965,47
2025-01-02 23:00:00,38.125,48
2025-01-03 00:00:00,37.697500000000005,49
2025-01-03 01:00:00,37.3125,50
2025-01-03 02:00:00,35.925,51
2025-01-03 03:00:00,37.185,52
2025-01-03 04:00:00,41.6575,53
2025-01-03 05:00:00,36.5575,54
2025-01-03 06:00:00,30.5575,55
2025-01-03 07:00:00,29.245,56
2025-01-03 08:00:00,29.6025,57
2025-01-03 09:00:00,29.37,58
2025-01-03 10:00:00,27.955,59
2025-01-03 11:00:00,28.637500000000003,60
2025-01-03 12:00:00,27.9875,61
2025-01-03 13:00:00,27.6025,62
2025-01-03 14:00:00,27.71,63
2025-01-03 15:00:00,28.1225,64
2025-01-03 16:00:00,28.14,65
2025-01-03 17:00:00,28.3925,66
2025-01-03 18:00:00,28.16,67
2025-01-03 19:00:00,28.0375,68
2025-01-03 20:00:00,30.285,69
2025-01-03 21:00:00,36.1575,70
2025-01-03 22:00:00,37.865,71
2025-01-03 23:00:00,36.46,72
2025-01-04 00:00:00,36.1525,73
2025-01-04 01:00:00,35.5325,74
2025-01-04 02:00:00,34.6925,75
2025-01-04 03:00:00,33.8375,76
2025-01-04 04:00:00,30.5775,77
2025-01-04 05:00:00,31.4125,78
2025-01-04 06:00:00,25.1525,79
2025-01-04 07:00:00,23.88,80
2025-01-04 08:00:00,24.315,81
2025-01-04 09:00:00,24.9075,82
2025-01-04 10:00:00,26.235,83
2025-01-04 11:00:00,24.1775,84
2025-01-04 12:00:00,27.2,85
2025-01-04 13:00:00,32.83,86
2025-01-04 14:00:00,40.59,87
2025-01-04 15:00:00,35.254999999999995,88
2025-01-04 16:00:00,32.167500000000004,89
2025-01-04 17:00:00,30.9375,90
2025-01-04 18:00:00,31.505000000000003,91
2025-01-04 19:00:00,30.4525,92
2025-01-04 20:00:00,30.1525,93
2025-01-04 21:00:00,37.0525,94
2025-01-04 22:00:00,40.4975,95
2025-01-04 23:00:00,39.145,96
2025-01-05 00:00:00,38.7975,97
2025-01-05 01:00:00,36.04,98
2025-01-05 02:00:00,29.025,99
2025-01-05 03:00:00,28.7175,100
2025-01-05 04:00:00,27.81,101
2025-01-05 05:00:00,29.2775,102
2025-01-05 06:00:00,24.54,103
2025-01-05 07:00:00,21.4775,104
2025-01-05 08:00:00,20.83,105
2025-01-05 09:00:00,21.3125,106
2025-01-05 10:00:00,30.0675,107
2025-01-05 11:00:00,32.0025,108
2025-01-05 12:00:00,32.67,109
2025-01-05 13:00:00,33.0225,110
2025-01-05 14:00:00,31.3975,111
2025-01-05 15:00:00,31.7275,112
2025-01-05 16:00:00,30.435,113
2025-01-05 17:00:00,31.6,114
2025-01-05 18:00:00,31.925,115
2025-01-05 19:00:00,31.305,116
2025-01-05 20:00:00,32.2,117
2025-01-05 21:00:00,39.545,118
2025-01-05 22:00:00,41.005,119
2025-01-05 23:00:00,41.1375,120
2025-01-06 00:00:00,40.7775,121
2025-01-06 01:00:00,36.565,122
2025-01-06 02:00:00,30.12,123
2025-01-06 03:00:00,35.485,124
2025-01-06 04:00:00,36.785,125
2025-01-06 05:00:00,34.489999999999995,126
2025-01-06 06:00:00,34.9,127
2025-01-06 07:00:00,32.9125,128
2025-01-06 08:00:00,32.155,129
2025-01-06 09:00:00,32.5575,130
2025-01-06 10:00:00,29.185,131
2025-01-06 11:00:00,29.895,132
